Código do Município,Município ,População,Óbitos Maternos,Nascidos Vivos,Mortalidade Materna,Total de Consultas Pré-Natal
240010,Acari ,10.597,1,93,"1075,3",93
240020,Açu ,56.496,0,623,"0,0",623
240030,Afonso Bezerra ,10.839,1,112,"892,9",112
240040,Água Nova ,2.946,0,25,"0,0",25
240050,Alexandria ,13.640,0,138,"0,0",138
240060,Almino Afonso ,4.687,0,43,"0,0",43
240070,Alto do Rodrigues ,12.484,0,177,"0,0",177
240080,Angicos ,11.632,0,135,"0,0",135
240090,Antônio Martins ,6.577,0,47,"0,0",47
240100,Apodi ,36.093,0,338,"0,0",338
240110,Areia Branca ,24.093,0,315,"0,0",315
240120,Arês ,13.251,0,193,"0,0",193
240140,Baía Formosa ,8.825,0,125,"0,0",125
240145,Baraúna ,26.913,0,314,"0,0",314
240150,Barcelona ,3.986,0,29,"0,0",29
240160,Bento Fernandes ,4.807,0,65,"0,0",65
240530,Boa Saúde ,9.051,0,122,"0,0",122
240165,Bodó ,2.306,0,43,"0,0",43
240170,Bom Jesus ,9.952,0,124,"0,0",124
240180,Brejinho ,12.202,0,150,"0,0",150
240185,Caiçara do Norte ,6.293,0,66,"0,0",66
240190,Caiçara do Rio do Vento ,3.268,0,29,"0,0",29
240200,Caicó ,61.146,1,599,"166,9",599
240130,Campo Grande ,9.730,0,82,"0,0",82
240210,Campo Redondo ,10.215,0,104,"0,0",104
240220,Canguaretama ,29.668,1,448,"223,2",448
240230,Caraúbas ,19.727,0,181,"0,0",181
240240,Carnaúba dos Dantas ,7.992,0,92,"0,0",92
240250,Carnaubais ,9.714,0,103,"0,0",103
240260,Ceará-Mirim ,79.115,1,960,"104,2",960
240270,Cerro Corá ,11.000,0,140,"0,0",140
240280,Coronel Ezequiel ,5.117,0,52,"0,0",52
240290,Coronel João Pessoa ,4.237,0,50,"0,0",50
240300,Cruzeta ,8.005,0,57,"0,0",57
240310,Currais Novos ,41.313,1,418,"239,2",418
240320,Doutor Severiano ,7.044,0,85,"0,0",85
240330,Encanto ,6.016,0,66,"0,0",66
240340,Equador ,5.360,0,66,"0,0",66
240350,Espírito Santo ,10.620,0,98,"0,0",98
240360,Extremoz ,61.635,1,607,"164,7",607
240370,Felipe Guerra ,5.944,0,47,"0,0",47
240375,Fernando Pedroza ,2.938,0,33,"0,0",33
240380,Florânia ,10.196,0,102,"0,0",102
240390,Francisco Dantas ,2.700,0,28,"0,0",28
240400,Frutuoso Gomes ,4.122,0,49,"0,0",49
240410,Galinhos ,2.104,0,37,"0,0",37
240420,Goianinha ,26.741,0,429,"0,0",429
240430,Governador Dix-Sept Rosado ,11.938,0,131,"0,0",131
240440,Grossos ,9.924,0,90,"0,0",90
240450,Guamaré ,15.295,0,244,"0,0",244
240460,Ielmo Marinho ,11.615,0,95,"0,0",95
240470,Ipanguaçu ,14.131,0,148,"0,0",148
240480,Ipueira ,2.035,0,15,"0,0",15
240485,Itajá ,7.292,0,96,"0,0",96
240490,Itaú ,5.320,0,59,"0,0",59
240500,Jaçanã ,7.834,0,112,"0,0",112
240510,Jandaíra ,6.562,0,77,"0,0",77
240520,Janduís ,4.746,0,55,"0,0",55
240540,Japi ,5.117,0,82,"0,0",82
240550,Jardim de Angicos ,2.437,0,34,"0,0",34
240560,Jardim de Piranhas ,13.977,1,146,"684,9",146
240570,Jardim do Seridó ,11.655,0,86,"0,0",86
240580,João Câmara ,33.290,0,515,"0,0",515
240590,João Dias ,2.076,0,12,"0,0",12
240600,José da Penha ,5.803,0,66,"0,0",66
240610,Jucurutu ,17.793,0,159,"0,0",159
240615,Jundiá ,3.739,0,48,"0,0",48
240620,Lagoa d'Anta ,6.654,0,87,"0,0",87
240630,Lagoa de Pedras ,7.338,0,99,"0,0",99
240640,Lagoa de Velhos ,2.567,0,33,"0,0",33
240650,Lagoa Nova ,15.573,0,196,"0,0",196
240660,Lagoa Salgada ,8.319,0,120,"0,0",120
240670,Lajes ,9.866,0,106,"0,0",106
240680,Lajes Pintadas ,4.787,0,64,"0,0",64
240690,Lucrécia ,3.490,0,50,"0,0",50
240700,Luís Gomes ,9.070,0,94,"0,0",94
240710,Macaíba ,82.249,2,834,"239,8",834
240720,Macau ,27.369,1,271,"369,0",271
240725,Major Sales ,3.924,0,42,"0,0",42
240730,Marcelino Vieira ,7.896,0,77,"0,0",77
240740,Martins ,8.179,0,71,"0,0",71
240750,Maxaranguape ,10.255,0,137,"0,0",137
240760,Messias Targino ,4.274,0,38,"0,0",38
240770,Montanhas ,11.444,0,161,"0,0",161
240780,Monte Alegre ,23.031,0,251,"0,0",251
240790,Monte das Gameleiras ,2.276,0,40,"0,0",40
240800,Mossoró ,264.577,1,3254,"30,7",3254
240810,Natal ,751.300,3,9357,"32,1",9357
240820,Nísia Floresta ,31.942,0,338,"0,0",338
240830,Nova Cruz ,34.269,0,393,"0,0",393
240840,Olho d'Água do Borges ,3.905,0,33,"0,0",33
240850,Ouro Branco ,4.913,0,32,"0,0",32
240860,Paraná ,3.934,0,55,"0,0",55
